reference_raw,reference_normalized,row_count,year_hint,query_title,resolved_doi,resolved_title,resolved_journal,resolved_year,resolved_source,match_score,resolution_status,candidate_json
"2002 Thermal conductivity of multiwalled carbon nanotubes
Da",thermal conductivity of multiwalled carbon nanotubes da,1,2002.0,Thermal conductivity of multiwalled carbon nanotubes Da,,,,,,0.8644,candidate_below_threshold,"[{""api_error"": null, ""api_score"": 39.110138, ""api_status"": 200, ""doi"": ""10.1021/acs.jpcc.9b00692.s001"", ""journal"": null, ""match_score"": 0.864406779661017, ""source"": ""crossref"", ""title"": ""Thermal Conductivity of a Supported Multiwalled Carbon Nanotube"", ""year"": null}, {""api_error"": null, ""api_score"": 36.147625, ""api_status"": 200, ""doi"": ""10.1016/j.ijthermalsci.2012.03.003"", ""journal"": ""International Journal of Thermal Sciences"", ""match_score"": 0.8013559322033899, ""source"": ""crossref"", ""title"": ""Thermal conductivity of individual multiwalled carbon nanotubes"", ""year"": 2012}, {""api_error"": null, ""api_score"": 968.57306, ""api_status"": 200, ""doi"": ""10.1007/s10853-019-03368-0"", ""journal"": ""Journal of Materials Science"", ""match_score"": 0.67, ""source"": ""openalex"", ""title"": ""Thermal conductivity of carbon nanotube networks: a review"", ""year"": 2019}, {""api_error"": null, ""api_score"": 40.031414, ""api_status"": 200, ""doi"": ""10.1103/physrevb.77.075424"", ""journal"": ""Physical Review B"", ""match_score"": 0.6682014388489209, ""source"": ""crossref"", ""title"": ""Thermal boundary resistance and thermal conductivity of multiwalled carbon nanotubes"", ""year"": 2008}, {""api_error"": null, ""api_score"": 40.032806, ""api_status"": 200, ""doi"": ""10.1080/1536383x.2017.1289923"", ""journal"": ""Fullerenes, Nanotubes and Carbon Nanostructures"", ""match_score"": 0.5336363636363637, ""source"": ""crossref"", ""title"": ""Bulk thermal conductivity studies of Sn/SnO coated and filled multiwalled carbon nanotubes for thermal interface material"", ""year"": 2017}]"
2007_Electrical and thermal properties of carbon nanotube bulk materials: Experimental studies for the 328-958 K temperature range,electrical and thermal properties of carbon nanotube bulk materials experimental studies for the 328 958 k temperature range,1,2007.0,Electrical and thermal properties of carbon nanotube bulk materials: Experimental studies for the 328-958 K temperature range,,,,,,0.5636,candidate_below_threshold,"[{""api_error"": null, ""api_score"": 50.11318, ""api_status"": 200, ""doi"": ""10.1103/physrevb.75.205407"", ""journal"": ""Physical Review B"", ""match_score"": 0.5636363636363636, ""source"": ""crossref"", ""title"": ""Electrical and thermal properties of carbon nanotube bulk materials: Experimental studies for the<mml:math xmlns:mml=\""http://www.w3.org/1998/Math/MathML\"" display=\""inline\""><mml:mrow><mml:mn>328</mml:mn><mml:mo>–</mml:mo><mml:mn>958</mml:mn><mml:mspace width=\""0.3em\""/><mml:mi mathvariant=\""normal\"">K</mml:mi></mml:mrow></mml:math>temperature range"", ""year"": 2007}, {""api_error"": null, ""api_score"": 1037.7458, ""api_status"": 200, ""doi"": ""10.1103/physrevb.75.205407"", ""journal"": ""Physical Review B"", ""match_score"": 0.5636363636363636, ""source"": ""openalex"", ""title"": ""Electrical and thermal properties of carbon nanotube bulk materials: Experimental studies for the<mml:math xmlns:mml=\""http://www.w3.org/1998/Math/MathML\"" display=\""inline\""><mml:mrow><mml:mn>328</mml:mn><mml:mo>–</mml:mo><mml:mn>958</mml:mn><mml:mspace width=\""0.3em\""/><mml:mi mathvariant=\""normal\"">K</mml:mi></mml:mrow></mml:math>temperature range"", ""year"": 2007}, {""api_error"": null, ""api_score"": 36.01972, ""api_status"": 200, ""doi"": ""10.2139/ssrn.4194318"", ""journal"": ""SSRN Electronic Journal"", ""match_score"": 0.5565217391304348, ""source"": ""crossref"", ""title"": ""Electrical and Thermal Properties of Epoxy Composites Containing Graphene-Carbon Nanotube Hybrid Materials"", ""year"": 2022}, {""api_error"": null, ""api_score"": 41.10356, ""api_status"": 200, ""doi"": ""10.1016/j.msea.2006.01.055"", ""journal"": ""Materials Science and Engineering: A"", ""match_score"": 0.5229357798165137, ""source"": ""crossref"", ""title"": ""High temperature electrical and thermal properties of the bulk carbon nanotube prepared by SPS"", ""year"": 2006}, {""api_error"": null, ""api_score"": 35.117516, ""api_status"": 200, ""doi"": ""10.1533/9780857091390.2.295"", ""journal"": ""Polymer–Carbon Nanotube Composites"", ""match_score"": 0.4462809917355372, ""source"": ""crossref"", ""title"": ""Influence of thermo-rheological history on electrical and rheological properties of polymer–carbon nanotube composites"", ""year"": 2011}]"
Need a reference,need a reference,1,,Need a reference,,,,,,0.0,insufficient_reference_text,[]
https://www.clearwatercomposites.com/resources/properties-of-carbon-fiber/,https www clearwatercomposites com resources properties of carbon fiber,2,,https://www.clearwatercomposites.com/resources/properties-of-carbon-fiber/,,,,,,0.0,web_or_specsheet_reference,[]
http://www.matweb.com/search/datasheet_print.aspx?matguid=9aebe83845c04c1db5126fada6f76f7e,http www matweb com search datasheet print aspx matguid 9aebe83845c04c1db5126fada6f76f7e,1,,http://www.matweb.com/search/datasheet print.aspx?matguid=9aebe83845c04c1db5126fada6f76f7e,,,,,,0.0,web_or_specsheet_reference,[]
http://www.torayca.com/en/download/pdf/torayca_t1100g.pdf,http www torayca com en download pdf torayca t1100g pdf,1,,http://www.torayca.com/en/download/pdf/torayca t1100g.pdf,,,,,,0.0,web_or_specsheet_reference,[]
http://www.toyobo-global.com/seihin/kc/pbo/zylon_bussei.html,http www toyobo global com seihin kc pbo zylon bussei html,1,,http://www.toyobo-global.com/seihin/kc/pbo/zylon bussei.html,,,,,,0.0,web_or_specsheet_reference,[]
https://paperonweb.com/paperpro.htm#Strength%20Properties,https paperonweb com paperpro htm strength 20properties,1,,https://paperonweb.com/paperpro.htm#Strength%20Properties,,,,,,0.0,web_or_specsheet_reference,[]
https://www.christinedemerchant.com/aramid_characteristics.html,https www christinedemerchant com aramid characteristics html,1,,https://www.christinedemerchant.com/aramid characteristics.html,,,,,,0.0,web_or_specsheet_reference,[]
https://www.clearwatercomposites.com/resources/properties-of-carbon-fiber/          http://www.substech.com/dokuwiki/doku.php?id=alloy_steel_sae_4130,https www clearwatercomposites com resources properties of carbon fiber http www substech com dokuwiki doku php id alloy steel sae 4130,1,,https://www.clearwatercomposites.com/resources/properties-of-carbon-fiber/ http://www.substech.com/dokuwiki/doku.php?id=alloy steel sae 4130,,,,,,0.0,web_or_specsheet_reference,[]
https://www.toraycma.com/page.php?id=661,https www toraycma com page php id 661,1,,https://www.toraycma.com/page.php?id=661,,,,,,0.0,web_or_specsheet_reference,[]
