publication_id,doi,url,title,authors_short,journal,year,published_date,issue_pages,citation_raw_examples,validation_status,source_record_count
pub_b51693e25405,10.1016/j.carbon.2008.12.041,,,,,,,,10.1016/j.carbon.2008.12.041,unvalidated,1
pub_ddc07e4ed60c,10.1016/j.carbon.2009.01.011,,,,,,,,10.1016/j.carbon.2009.01.011,unvalidated,1
pub_9389a595a031,10.1016/j.carbon.2009.03.039,,,,,,,,10.1016/j.carbon.2009.03.039,unvalidated,4
pub_02df395e62f3,10.1016/j.carbon.2010.06.016,,,,,,,,10.1016/j.carbon.2010.06.016,unvalidated,1
pub_6ca1ef1b2ee9,10.1016/j.carbon.2010.06.063,,,,,,,,10.1016/j.carbon.2010.06.063,unvalidated,1
pub_769b7421edcb,10.1016/j.carbon.2010.11.054,,,,,,,,10.1016/j.carbon.2010.11.054,unvalidated,4
pub_4109e6436055,10.1016/j.carbon.2011.02.010,,,,,,,,10.1016/j.carbon.2011.02.010,unvalidated,1
pub_ccda59bb81c8,10.1016/j.carbon.2011.05.008,,,,,,,,10.1016/j.carbon.2011.05.008,unvalidated,10
pub_757960e827ac,10.1016/j.carbon.2011.08.041,,,,,,,,10.1016/j.carbon.2011.08.041,unvalidated,12
pub_6c601db3e0a9,10.1016/j.carbon.2012.01.077,,,,,,,,10.1016/j.carbon.2012.01.077,unvalidated,4
pub_e99c161d354d,10.1016/j.carbon.2012.04.029,,,,,,,,10.1016/j.carbon.2012.04.029,unvalidated,3
pub_70a7cdf78dde,10.1016/j.carbon.2012.04.067,,,,,,,,10.1016/j.carbon.2012.04.067,unvalidated,1
pub_63d15656d393,10.1016/j.carbon.2012.05.043,,,,,,,,10.1016/j.carbon.2012.05.043,unvalidated,17
pub_56230201d426,10.1016/j.carbon.2012.06.035,,,,,,,,10.1016/j.carbon.2012.06.035,unvalidated,1
pub_a38e819ba895,10.1016/j.carbon.2013.03.042,,,,,,,,10.1016/j.carbon.2013.03.042,unvalidated,1
pub_696ba0d3b783,10.1016/j.carbon.2013.10.001,,,,,,,,10.1016/j.carbon.2013.10.001,unvalidated,13
pub_0bb39d11d115,10.1016/j.carbon.2014.02.058,,,,,,,,10.1016/j.carbon.2014.02.058,unvalidated,4
pub_cde87f59e95b,10.1016/j.carbon.2014.08.082,,,,,,,,10.1016/j.carbon.2014.08.082,unvalidated,7
pub_a3237d00f20b,10.1016/j.carbon.2015.12.014,,,,,,,,10.1016/j.carbon.2015.12.014,unvalidated,9
pub_301d334c1fda,10.1016/j.carbon.2015.12.048,,,,,,,,10.1016/j.carbon.2015.12.048,unvalidated,3
pub_7b58d14746cc,10.1016/j.carbon.2016.02.009,,,,,,,,10.1016/j.carbon.2016.02.009,unvalidated,1
pub_9294eb97e8ec,10.1016/j.carbon.2016.04.043,,,,,,,,10.1016/j.carbon.2016.04.043,unvalidated,4
pub_f6f4767311bb,10.1016/j.carbon.2016.12.006,,,,,,,,https://www.sciencedirect.com/science/article/pii/S0008622316310752#appsec1 || 10.1016/j.carbon.2016.12.006,unvalidated,8
pub_cc293df6d364,10.1016/j.carbon.2017.03.101,,,,,,,,10.1016/j.carbon.2017.03.101,unvalidated,1
pub_0640d864ff0f,10.1016/j.carbon.2017.04.072,,,,,,,,10.1016/j.carbon.2017.04.072,unvalidated,2
pub_31d044830a00,10.1016/j.carbon.2017.06.028,,,,,,,,10.1016/j.carbon.2017.06.028,unvalidated,8
pub_ad50d8b6cadf,10.1016/j.carbon.2017.09.089,,,,,,,,10.1016/j.carbon.2017.09.089,unvalidated,4
pub_edb273a2e75a,10.1016/j.carbon.2017.10.072,,,,,,,,10.1016/j.carbon.2017.10.072,unvalidated,3
pub_7737fa665c78,10.1016/j.carbon.2018.03.006,,,,,,,,10.1016/j.carbon.2018.03.006 || https://doi.org/10.1016/j.carbon.2018.03.006,unvalidated,6
pub_8a016ba7eb62,10.1016/j.carbon.2018.04.071,,,,,,,,10.1016/j.carbon.2018.04.071 || https://doi.org/10.1016/j.carbon.2018.04.071,unvalidated,12
pub_7d134fcf0dec,10.1016/j.carbon.2018.09.073,,,,,,,,10.1016/j.carbon.2018.09.073,unvalidated,2
pub_2cc822bf601b,10.1016/j.carbon.2018.11.036,,,,,,,,10.1016/j.carbon.2018.11.036,unvalidated,25
pub_ab9623ab6e28,10.1016/j.carbon.2018.12.041,,,,,,,,10.1016/j.carbon.2018.12.041,unvalidated,10
pub_5af6ba0cd671,10.1016/j.carbon.2019.05.023,,,,,,,,10.1016/j.carbon.2019.05.023,unvalidated,7
pub_51c7feeb25ac,10.1016/j.carbon.2019.05.062,,,,,,,,10.1016/j.carbon.2019.05.062,unvalidated,40
pub_22f978531069,10.1016/j.carbon.2019.07.061,,,,,,,,10.1016/j.carbon.2019.07.061,unvalidated,25
pub_9ef95d68da1d,10.1016/j.carbon.2019.09.022,,,,,,,,10.1016/j.carbon.2019.09.022,unvalidated,7
pub_12d03d56c269,10.1016/j.carbon.2019.09.090,,,,,,,,10.1016/j.carbon.2019.09.090,unvalidated,7
pub_dd8ce9775a33,10.1016/j.carbon.2020.07.058,,,,,,,,10.1016/j.carbon.2020.07.058 || https://doi.org/10.1016/j.carbon.2020.07.058,unvalidated,5
pub_d1c16c59e1f9,10.1016/j.carbon.2020.09.014,,,,,,,,10.1016/j.carbon.2020.09.014,unvalidated,5
pub_2379626435ee,10.1016/j.carbon.2020.10.066,,,,,,,,10.1016/j.carbon.2020.10.066,unvalidated,3
pub_380d9eaa3722,10.1016/j.carbon.2020.10.068,,,,,,,,10.1016/j.carbon.2020.10.068,unvalidated,6
pub_da3690dd76bf,10.1016/j.carbon.2020.11.065,,,,,,,,10.1016/j.carbon.2020.11.065,unvalidated,1
pub_5f0df3eddde1,10.1016/j.carbon.2021.01.139,,,,,,,,10.1016/j.carbon.2021.01.139,unvalidated,6
pub_387827321996,10.1016/j.carbon.2021.04.033,,,,,,,,https://www.sciencedirect.com/science/article/pii/S0008622321004140 || https://doi.org/10.1016/j.carbon.2021.04.033,unvalidated,3
pub_6b76cd5f8c09,10.1016/j.carbon.2022.04.040,,,,,,,,https://www.sciencedirect.com/science/article/pii/S0008622322003189 || https://doi.org/10.1016/j.carbon.2022.04.040,unvalidated,3
pub_8d5a656d9a2b,10.1016/j.carbon.2024.118947,,,,,,,,https://doi.org/10.1016/j.carbon.2024.118947,unvalidated,1
pub_2306a40e08f6,10.1016/j.carbon.2026.121575,,,,,,,,10.1016/j.carbon.2026.121575,unvalidated,3
pub_16cf6e7204b2,10.1016/j.colsurfa.2016.09.036,,,,,,,,10.1016/j.colsurfa.2016.09.036,unvalidated,3
pub_eeab89480b2e,10.1016/j.compositesa.2015.06.009,,,,,,,,10.1016/j.compositesa.2015.06.009,unvalidated,6
pub_84f92f56cf6c,10.1016/j.compositesa.2016.10.018,,,,,,,,10.1016/j.compositesa.2016.10.018,unvalidated,1
pub_4eebad81ec6d,10.1016/j.eml.2018.03.003,,,,,,,,10.1016/j.eml.2018.03.003,unvalidated,1
pub_57839f990d94,10.1016/j.matchemphys.2012.05.080,,,,,,,,10.1016/j.matchemphys.2012.05.080,unvalidated,1
pub_de4248f01a34,10.1016/j.matdes.2016.07.045,,,,,,,,10.1016/j.matdes.2016.07.045,unvalidated,12
pub_628d0dd6dff6,10.1016/j.matdes.2016.11.109,,,,,,,,10.1016/j.matdes.2016.11.109,unvalidated,8
pub_71b4d31eaebe,10.1016/j.matdes.2017.02.062,,,,,,,,10.1016/j.matdes.2017.02.062,unvalidated,4
pub_092377c75b17,10.1016/j.matdes.2017.04.011,,,,,,,,10.1016/j.matdes.2017.04.011,unvalidated,3
pub_0c1a3474c537,10.1016/j.matdes.2018.02.004,,,,,,,,10.1016/j.matdes.2018.02.004,unvalidated,4
pub_4bfe676cca83,10.1016/j.matdes.2018.02.068,,,,,,,,10.1016/j.matdes.2018.02.068,unvalidated,2
pub_da92c65c17dc,10.1016/j.matdes.2019.108463,,,,,,,,10.1016/j.matdes.2019.108463,unvalidated,9
pub_5de907a1d18d,10.1016/j.matdes.2020.108740,,,,,,,,10.1016/j.matdes.2020.108740,unvalidated,2
pub_34383c339a4a,10.1016/j.matdes.2021.109557,,,,,,,,10.1016/j.matdes.2021.109557,unvalidated,1
pub_968e8aaf498c,10.1016/j.matlet.2024.136601,,,,,,,,https://doi.org/10.1016/j.matlet.2024.136601,unvalidated,1
pub_684f68de6fe8,10.1016/j.micron.2015.04.004,,,,,,,,10.1016/j.micron.2015.04.004,unvalidated,2
pub_0092d354905d,10.1016/j.physb.2006.06.135,,,,,,,,10.1016/j.physb.2006.06.135,unvalidated,4
pub_b762ef704d9d,10.1016/j.physb.2006.12.061,,,,,,,,10.1016/j.physb.2006.12.061,unvalidated,1
pub_7193459a31e2,10.1016/j.rinma.2020.100059,,,,,,,,10.1016/j.rinma.2020.100059,unvalidated,9
pub_e726169c5f76,10.1016/j.synthmet.2012.10.010,,,,,,,,10.1016/j.synthmet.2012.10.010,unvalidated,2
pub_749cb3fbc2f3,10.1016/j.vacuum.2017.12.013,,,,,,,,10.1016/j.vacuum.2017.12.013,unvalidated,6
pub_6471dcadaa4e,10.1016/s0008-6223(97)00189-9,,,,,,,,10.1016/s0008-6223(97)00189-9,unvalidated,5
pub_943e65d1c3d2,10.1016/s0379-6779(98)00078-2,,,,,,,,10.1016/s0379-6779(98)00078-2,unvalidated,5
pub_30a2b050c7ec,10.1021/acs.jpcc.6b06746,,,,,,,,10.1021/acs.jpcc.6b06746,unvalidated,29
pub_19d4065b20d0,10.1021/acs.nanolett.5b03863,,,,,,,,10.1021/acs.nanolett.5b03863,unvalidated,4
pub_ed613fb42357,10.1021/acs.nanolett.7b02522,,,,,,,,10.1021/acs.nanolett.7b02522,unvalidated,2
pub_7d7ffc77384c,10.1021/acs.nanolett.9b03022,,,,,,,,10.1021/acs.nanolett.9b03022,unvalidated,10
pub_c47d0aac036d,10.1021/acsami.5b08668,,,,,,,,10.1021/acsami.5b08668,unvalidated,1
pub_b70df26e0b56,10.1021/acsami.5b09912,,,,,,,,10.1021/acsami.5b09912,unvalidated,9
pub_54f05179c6b4,10.1021/acsami.5b11600,,,,,,,,10.1021/acsami.5b11600,unvalidated,3
pub_f5f064d17d18,10.1021/acsami.7b09287,,,,,,,,10.1021/acsami.7b09287,unvalidated,2
pub_113a1375d033,10.1021/acsami.7b10968,,,,,,,,10.1021/acsami.7b10968 || 10.1126/science.1228061 10.1021/acsami.7b10968 || https://doi.org/10.1021/acsami.7b10968,unvalidated,16
pub_e08ee65507a3,10.1021/acsami.7b19012,,,,,,,,10.1021/acsami.7b19012,unvalidated,5
pub_aee7d18d90c9,10.1021/acsami.9b19861,,,,,,,,10.1021/acsami.9b19861,unvalidated,10
pub_027abd0dac9c,10.1021/acsanm.9b01859,,,,,,,,10.1021/acsanm.9b01859,unvalidated,3
pub_e1fcc3c30131,10.1021/acsnano.5b02408,,,,,,,,10.1021/acsnano.5b02408,unvalidated,4
pub_9b53b7a02b96,10.1021/am401524q,,,,,,,,10.1021/am401524q || https://doi.org/10.1021/am401524q,unvalidated,6
pub_a3eb5314128e,10.1021/ja046685a,,,,,,,,10.1021/ja046685a,unvalidated,6
pub_a2fa7924b6c1,10.1021/jp044741o,,,,,,,,10.1021/jp044741o,unvalidated,5
pub_b61d6f23fde5,10.1021/jp063660k,,,,,,,,10.1021/jp063660k,unvalidated,5
pub_007c4770c583,10.1021/ma400612y,,,,,,,,"https://www.hexcel.com/Resources/DataSheets/Carbon-Fiber & https://doi.org/10.1021/ma400612y & A. Mikhalchan, J.J. Vilatela / Carbon 150 (2019) 191e21 || http://toyobo.cn/seihin/kc/pbo/zylon-p/bussei-p/technical.pdf & https://doi.org/10.1021/ma400612y || http://www.matweb.com/ & https://doi.org/10.1021/ma400612y & A. Mikhalchan, J.J. Vilatela / Carbon 150 (2019) 191e21",unvalidated,5
pub_1b21fffbc4e3,10.1021/nl052145f,,,,,,,,10.1021/nl052145f,unvalidated,1
pub_ab310a777032,10.1021/nl070915c,,,,,,,,10.1021/nl070915c,unvalidated,1
pub_b6c7cb81d2a0,10.1021/nl3023274,,,,,,,,10.1021/nl3023274,unvalidated,8
pub_ad4164af1962,10.1021/nl9020914,,,,,,,,10.1021/nl9020914,unvalidated,5
pub_4b6f4aaeae17,10.1021/nn101177n,,,,,,,,10.1021/nn101177n,unvalidated,2
pub_a7ab7e242f76,10.1021/nn102288u,,,,,,,,10.1021/nn102288u,unvalidated,1
pub_1ec5aa7a717a,10.1021/nn800200d,,,,,,,,10.1021/nn800200d,unvalidated,6
pub_5e42e467627e,10.1021/nn900787h,,,,,,,,10.1021/nn900787h,unvalidated,1
pub_22419df85ed3,10.1038/327403a0,,,,,,,,10.1038/327403a0,unvalidated,2
pub_864c086e299d,10.1038/382054a0,,,,,,,,10.1038/382054a0,unvalidated,4
pub_08d12d46e99c,10.1038/nature04705,,,,,,,,10.1038/nature04705,unvalidated,2
pub_45f9d26d613e,10.1038/ncomms3202,,,,,,,,10.1038/ncomms3202,unvalidated,6
pub_d9ac056b91b3,10.1038/ncomms4848,,,,,,,,10.1038/ncomms4848,unvalidated,8
pub_93be44b1ee62,10.1038/nnano.2008.211,,,,,,,,10.1038/nnano.2008.211,unvalidated,6
pub_da9efb92bdf3,10.1038/nnano.2016.44,,,,,,,,10.1038/nnano.2016.44,unvalidated,1
pub_55b8428035bf,10.1038/s41427-018-0028-3,,,,,,,,10.1038/s41427-018-0028-3,unvalidated,6
pub_038ce1b2687b,10.1038/s41467-019-10959-7,,,,,,,,10.1038/s41467-019-10959-7,unvalidated,16
pub_32b8afd4d609,10.1038/s41467-019-10998-0,,,,,,,,"Lee, J., Lee, DM., Jung, Y. et al. Direct spinning and densification method for high-performance carbon nanotube fibers. Nat Commun 10, 2962 (2019). https://doi.org/10.1038/s41467-019-10998-0 || 10.1038/s41467-019-10998-0",unvalidated,17
pub_96e1fec991c2,10.1038/s41565-018-0141-z,,,,,,,,10.1038/s41565-018-0141-z,unvalidated,3
pub_9bc57889911f,10.1038/s41598-017-09279-x,,,,,,,,10.1038/s41598-017-09279-x,unvalidated,12
pub_57f55eb13eeb,10.1038/s41598-017-12546-6,,,,,,,,10.1038/s41598-017-12546-6,unvalidated,6
pub_dfbf5beeb754,10.1038/s41598-017-12605-y,,,,,,,,10.1038/s41598-017-12605-y,unvalidated,1
pub_348a93c2f089,10.1038/s41598-018-32663-0,,,,,,,,10.1038/s41598-018-32663-0,unvalidated,4
pub_cd08677086f1,10.1038/s41598-020-64435-0,,,,,,,,10.1038/s41598-020-64435-0,unvalidated,7
pub_f22d8443595d,10.1038/scientificamerican08181888-10524asupp,,,,,,,,10.1038/scientificamerican08181888-10524asupp,unvalidated,12
pub_7eb477015ab9,10.1038/srep00083,,,,,,,,10.1038/srep00083,unvalidated,3
pub_977de3646deb,10.1039/c2jm15869h,,,,,,,,10.1039/c2jm15869h,unvalidated,1
pub_3fca95547c48,10.1039/c2jm16000e,,,,,,,,10.1039/c2jm16000e,unvalidated,8
pub_0fd2c9546431,10.1039/c2nr30226h,,,,,,,,10.1039/c2nr30226h,unvalidated,13
pub_ecf7bc038de1,10.1039/c2nr32332j,,,,,,,,10.1039/c2nr32332j,unvalidated,2
pub_ac31041093fe,10.1039/c3nr06704a,,,,,,,,10.1039/c3nr06704a,unvalidated,4
pub_bbb21c58ce3b,10.1039/c5nr03762j,,,,,,,,10.1039/c5nr03762j,unvalidated,2
pub_edca6475af23,10.1039/c5ta06662j,,,,,,,,10.1039/c5ta06662j,unvalidated,4
pub_d7847123f3a2,10.1039/c5tc02053k,,,,,,,,10.1039/c5tc02053k,unvalidated,10
pub_1bf230cb34c6,10.1039/c6nr04647a,,,,,,,,10.1039/c6nr04647a,unvalidated,2
pub_4f68a2012eda,10.1039/c7ee01130j,,,,,,,,10.1039/c7ee01130j,unvalidated,11
pub_14fcc594214c,10.1039/c8nr02323a,,,,,,,,10.1039/c8nr02323a,unvalidated,15
pub_de859259fbac,10.1039/c8ra01212a,,,,,,,,10.1039/c8ra01212a,unvalidated,5
pub_e1ef60274a97,10.1039/c9nr03400e,,,,,,,,10.1039/c9nr03400e,unvalidated,5
pub_ed06720c9c87,10.1039/c9nr05757a,,,,,,,,10.1039/c9nr05757a,unvalidated,10
pub_45a62e9e880c,10.1039/d0ra02675a,,,,,,,,10.1039/d0ra02675a,unvalidated,2
pub_8cee0b0cc0f0,10.1063/1.124093,,,,,,,,10.1063/1.124093,unvalidated,2
pub_b2c596b15959,10.1063/1.127079,,,,,,,,10.1063/1.127079,unvalidated,4
pub_e98f89ae7f61,10.1063/1.1396632,,,,,,,,10.1063/1.1396632,unvalidated,2
pub_4bc1b67c84aa,10.1063/1.1536733,,,,,,,,10.1063/1.1536733,unvalidated,2
pub_2850033e1814,10.1063/1.1627457,,,,,,,,10.1063/1.1627457,unvalidated,6
pub_981f35f15bd3,10.1063/1.1810640,,,,,,,,10.1063/1.1810640,unvalidated,3
pub_1684ace3e784,10.1063/1.1957118,,,,,,,,10.1063/1.1957118,unvalidated,2
pub_52e8de225578,10.1063/1.2743086,,,,,,,,10.1063/1.2743086,unvalidated,24
pub_315a37da8d57,10.1063/1.2957986,,,,,,,,10.1063/1.2957986,unvalidated,2
pub_a1f99c109ed8,10.1063/1.2968437,,,,,,,,10.1063/1.2968437,unvalidated,25
pub_0b588c448fa5,10.1063/1.3147183,,,,,,,,10.1063/1.3147183,unvalidated,3
pub_28dd23ee2cff,10.1063/1.341562,,,,,,,,10.1063/1.341562,unvalidated,1
pub_974017e046b1,10.1063/1.3506703,,,,,,,,10.1063/1.3506703,unvalidated,3
pub_8532f5e2e465,10.1063/1.3552911,,,,,,,,10.1063/1.3552911,unvalidated,2
pub_bed9ef1fbfcc,10.1063/1.4729538,,,,,,,,10.1063/1.4729538,unvalidated,2
pub_e2616ffefa26,10.1063/1.4739713,,,,,,,,10.1063/1.4739713,unvalidated,28
pub_12b37986f8a9,10.1063/1.4874737,,,,,,,,10.1063/1.4874737,unvalidated,1
pub_422913c17c94,10.1063/1.4907608,,,,,,,,10.1063/1.4907608,unvalidated,2
pub_26bbb3f2b005,10.1063/1.4919792,,,,,,,,10.1063/1.4919792,unvalidated,1
pub_2a8ba5afcda4,10.1063/1.4990981,,,,,,,,10.1063/1.4990981,unvalidated,2
pub_05e0270b6bb0,10.1063/1.5021696,,,,,,,,10.1063/1.5021696,unvalidated,4
pub_d38cb1997387,10.1063/1.5098370,,,,,,,,10.1063/1.5098370,unvalidated,2
pub_1e4ffc2aabf0,10.1063/1.5127209,,,,,,,,10.1063/1.5127209,unvalidated,3
pub_66f78e7cd80b,10.1073/pnas.1816251115,,,,,,,,10.1073/pnas.1816251115,unvalidated,2
pub_9ee3ca9ef50b,10.1080/00018738100101367,,,,,,,,10.1080/00018738100101367,unvalidated,13
pub_6896731eaf73,10.1080/00018738600101911,,,,,,,,10.1080/00018738600101911,unvalidated,5
pub_bde241c1ddaa,10.1080/00018739200101543,,,,,,,,10.1080/00018739200101543,unvalidated,11
pub_0724234189e4,10.1080/14686996.2019.1567107,,,,,,,,10.1080/14686996.2019.1567107,unvalidated,3
pub_4428a4386a33,10.1088/0022-3727/18/7/016,,,,,,,,10.1088/0022-3727/18/7/016,unvalidated,2
pub_a1c70af61d07,10.1088/0034-4885/64/1/201,,,,,,,,10.1088/0034-4885/64/1/201,unvalidated,2
pub_ca6d455c0487,10.1088/0953-8984/22/33/334215,,,,,,,,10.1088/0953-8984/22/33/334215,unvalidated,6
pub_b0196fc63e12,10.1088/0953-8984/22/33/334221,,,,,,,,10.1088/0953-8984/22/33/334221,unvalidated,9
pub_05c000107776,10.1088/0957-4484/19/18/185710,,,,,,,,10.1088/0957-4484/19/18/185710,unvalidated,10
pub_b5048ab3c6e5,10.1088/0957-4484/19/7/075609,,,,,,,,10.1088/0957-4484/19/7/075609,unvalidated,2
pub_b134960d53e6,10.1088/0957-4484/21/4/045708,,,,,,,,10.1088/0957-4484/21/4/045708,unvalidated,10
pub_5a43e0f7b7cb,10.1088/0957-4484/22/30/309502,,,,,,,,10.1088/0957-4484/22/30/309502,unvalidated,1
pub_a4ddc5f14862,10.1088/0957-4484/22/48/485708,,,,,,,,10.1088/0957-4484/22/48/485708,unvalidated,9
pub_486b9a312434,10.1088/0957-4484/23/1/015703,,,,,,,,10.1088/0957-4484/23/1/015703,unvalidated,6
pub_16a891178ed9,10.1088/0957-4484/24/18/185201,,,,,,,,10.1088/0957-4484/24/18/185201,unvalidated,4
pub_a754f5be6013,10.1088/1674-1056/26/2/028802,,,,,,,,10.1088/1674-1056/26/2/028802,unvalidated,4
pub_19fdb33d89bc,10.1088/2053-1591/2/9/095604,,,,,,,,10.1088/2053-1591/2/9/095604,unvalidated,1
pub_52d98239e195,10.1088/2053-1591/aac757,,,,,,,,10.1088/2053-1591/aac757,unvalidated,2
pub_724b0fa15b87,10.1098/rspa.1972.0046,,,,,,,,10.1098/rspa.1972.0046,unvalidated,3
pub_7f2965b90154,10.1103/physrev.95.1095,,,,,,,,10.1103/physrev.95.1095,unvalidated,1
pub_ee27f3e7bcfa,10.1103/physrevb.27.3686,,,,,,,,10.1103/physrevb.27.3686,unvalidated,5
pub_e251c6c53468,10.1103/physrevb.32.1981,,,,,,,,10.1103/physrevb.32.1981,unvalidated,3
pub_58f4ade6303f,10.1103/physrevb.59.r2514,,,,,,,,10.1103/physrevb.59.r2514,unvalidated,1
pub_92bf8e00565d,10.1103/physrevb.61.4526,,,,,,,,10.1103/physrevb.61.4526,unvalidated,1
pub_43d61a66ada0,10.1103/physrevb.61.r2468,,,,,,,,10.1103/physrevb.61.r2468,unvalidated,2
pub_1531d68610b3,10.1103/physrevb.71.155410,,,,,,,,10.1103/physrevb.71.155410,unvalidated,7
pub_34764c4a015f,10.1103/physrevb.77.075424,,,,,,,,10.1103/physrevb.77.075424,unvalidated,1
